Chapter_1:  argument 	Value passed to a function.
Chapter_1:  assignment 	Obliterates an object’s current value and replaces that value by a new one.
Chapter_1:  block 	Sequence of zero or more statements enclosed in curly braces.
Chapter_1:  buffer 	A region of storage used to hold data. IO facilities often store input (or output) in a buffer and read or write the buffer independently from actions in the program. Output buffers can be explicitly flushed to force the buffer to be written. By default, reading cin flushes cout; cout is also flushed when the program ends normally.
Chapter_1:  built-in type 	Type, such as int, defined by the language.
Chapter_1:  cerr ostream object tied to the standard error	, which often writes to the same device as the standard output. By default, writes to cerr are not buffered. Usually used for error messages or other output that is not part of the normal logic of the program.
Chapter_1:  character string literal 	Another term for string literal.
Chapter_1:  cin 	istream object used to read from the standard input.
Chapter_1:  class 	Facility for defining our own data structures together with associated operations. The class is one of the most fundamental features in C++. Library types, such as istream and ostream, are classes.
Chapter_1:  class type 	A type defined by a class. The name of the type is the class name.
Chapter_1:  clog ostream object tied to the standard error. 	By default, writes to clog are buffered. Usually used to report information about program execution to a log file.
Chapter_1:  comments 	Program text that is ignored by the compiler. C++ has two kinds of comments: single-line and paired. Single-line comments start with a //. Everything from the // to the end of the line is a comment. Paired comments begin with a /* and include all text up to the next */.
Chapter_1:  condition 	An expression that is evaluated as true or false. A value of zero is false; any other value yields true.
Chapter_1:  cout ostream object used to write to the standard output. 	Ordinarily used to write the output of a program.
Chapter_1:  curly brace 	Curly braces delimit blocks. An open curly ({) starts a block; a close curly (}) ends one.
Chapter_1:  data structure 	A logical grouping of data and operations on that data.
Chapter_1:  edit-compile-debug 	The process of getting a program to execute properly.
Chapter_1:  end-of-file 	System-specific marker that indicates that there is no more input in a file.
Chapter_1:  expression 	The smallest unit of computation. An expression consists of one or more operands and usually one or more operators. Expressions are evaluated to produce a result. For example, assuming i and j are ints, then i + j is an expression and yields the sum of the two int values.
Chapter_1:  for statement 	Iteration statement that provides iterative execution. Often used to repeat a calculation a fixed number of times.
Chapter_1:  function 	Named unit of computation.
Chapter_1:  function body 	Block that defines the actions performed by a function.
Chapter_1:  function name 	Name by which a function is known and can be called.
Chapter_1:  header 	Mechanism whereby the definitions of a class or other names are made available to multiple programs. A program uses a header through a #include directive.
Chapter_1:  if statement 	Conditional execution based on the value of a specified condition. If the condition is true, the if body is executed. If not, the else body is executed if there is one.
Chapter_1:  initialize 	Give an object a value at the same time that it is created.
Chapter_1:  iostream 	Header that provides the library types for stream-oriented input and output.
Chapter_1:  istream 	Library type providing stream-oriented input.
Chapter_1:  library type 	Type, such as istream, defined by the standard library.
Chapter_1:  main 	Function called by the operating system to execute a C++ program. Each program must have one and only one function named main.
Chapter_1:  manipulator 	Object, such as std::endl, that when read or written “manipulates” the stream itself.
Chapter_1:  member function 	Operation defined by a class. Member functions ordinarily are called to operate on a specific object.
Chapter_1:  method 	Synonym for member function.
Chapter_1:  namespace 	Mechanism for putting names defined by a library into a single place. Namespaces help avoid inadvertent name clashes. The names defined by the C++ library are in the namespace std.
Chapter_1:  ostream 	Library type providing stream-oriented output.
Chapter_1:  parameter list 	Part of the definition of a function. Possibly empty list that specifies what arguments can be used to call the function.
Chapter_1:  return type 	Type of the value returned by a function.
Chapter_1:  source file 	Term used to describe a file that contains a C++ program.
Chapter_1:  standard error 	Output stream used for error reporting. Ordinarily, the standard output and the standard error are tied to the window in which the program is executed.
Chapter_1:  standard input 	Input stream usually associated with the window in which the program executes.
Chapter_1:  standard library 	Collection of types and functions that every C++ compiler must support. The library provides the types that support IO. C++ programmers tend to talk about “the library,” meaning the entire standard library. They also tend to refer to particular parts of the library by referring to a library type, such as the “iostream library,” meaning the part of the standard library that defines the IO classes.
Chapter_1:  standard output 	Output stream usually associated with the window in which the program executes.
Chapter_1:  statement 	A part of a program that specifies an action to take place when the program is executed. An expression followed by a semicolon is a statement; other kinds of statements include blocks and if, for, and while statements, all of which contain other statements within themselves.
Chapter_1:  std 	Name of the namespace used by the standard library. std::cout indicates that we’re using the name cout defined in the std namespace.
Chapter_1:  string literal 	Sequence of zero or more characters enclosed in double quotes ("a string literal").
Chapter_1:  uninitialized variable 	Variable that is not given an initial value. Variables of class type for which no initial value is specified are initialized as specified by the class definition. Variables of built-in type defined inside a function are uninitialized unless explicitly initialized. It is an error to try to use the value of an uninitialized variable. Uninitialized variables are a rich source of bugs .
Chapter_1:  variable 	A named object.
Chapter_1:  while statement 	Iteration statement that provides iterative execution so long as a specified condition is true. The body is executed zero or more times, depending on the truth value of the condition.
Chapter_1:  () operator 	Call operator. A pair of parentheses “()” following a function name. The operator causes a function to be invoked. Arguments to the function may be passed inside the parentheses.
